,SMILES,pKa
0,BrC1NC=CN1,3.79
1,Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,7.46
2,Brc1ccc(-c2cnc(-c3ccccc3)o2)cc1,0.65
3,Brc1ccc(-c2ncc(-c3ccccc3)o2)cc1,0.4
4,Brc1ccc(Br)c(N(CC2CC2)C2=NCCN2)c1,11.0
5,Brc1ccc(C2NCCS2)cc1,5.05
6,Brc1ccc(N(CC2CC2)C2=NCCN2)c(Br)c1,11.2
7,Brc1ccc(N2CCc3ccccc3C2)nc1,3.0
8,Brc1ccc(Nc2ccccc2)cc1,1.73
9,Brc1ccc2c(c1)CCN2,3.7
10,Brc1ccc2nc3c(c(N4CCOCC4)c2c1)CCC3,6.38
11,Brc1cccc(Br)c1N(C1=NCCN1)C1CCCC1,11.2
12,Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1,11.3
13,Brc1cccc(Br)c1N(CC1CC1)C1=NCCCN1,12.4
14,Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1,10.88
15,Brc1cccc(Br)c1N(CC1CCC1)C1=NCCN1,10.9
16,Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1,10.9
17,Brc1cccc(Br)c1N(CC1CCCCC1)C1=NCCN1,11.2
18,Brc1cccc(Br)c1N(Cc1ccccc1)C1=NCCN1,10.4
19,Brc1cccc(Br)c1N(Cc1ccco1)C1=NCCN1,10.5
20,Brc1cccc(Br)c1N(Cc1cccs1)C1=NCCN1,10.51
21,Brc1cccc(Br)c1N=C1NCCN1,7.85
22,Brc1cccc(N(CC2CC2)C2=NCCN2)c1Br,11.1
23,Brc1cccc(N2CCc3ccccc3C2)n1,2.0
24,Brc1ccccc1N(CC1CC1)C1=NCCN1,11.2
25,Brc1ccccn1,0.9
26,Brc1cccnc1,2.94
27,Brc1cnc2ccccc2c1,-0.44
28,Brc1cncc2ccccc12,3.54
29,Brc1nnn[nH]1,2.13
30,C#CC(=O)O,1.89
31,C#CC(C)(C(C)C)N(C)C(C)C,8.7
32,C#CC(C)(C)N(C)C(C)(C)C,9.3
33,C#CC(C)(C)N(C)C(C)(C)C#C,6.65
34,C#CC(C)(C)N(C)C(C)C,8.7
35,C#CC(C)(C)N(CC)C(C)(C)C,9.6
36,C#CC(C)(C)NC(C)(C)C#C,6.45
37,C#CC(C)(C)NC(C)(C)C=C,8.2
38,C#CC(C)(C)NC(C)(C)CC,9.0
39,C#CC(C)(C)Nc1ccccc1,4.26
40,C#CC(C)Nc1ccccc1,3.25
41,C#CC(CC)(CC)N(C)C(C)C,8.8
42,C#CC(CC)(CC)N(CC)C(C)C,8.2
43,C#CCC(=O)O,3.31
44,C#CCCC(=O)O,4.2
45,C#CCCCC(=O)O,4.6
46,C#CCCCCC(=O)O,4.58
47,C#CCCCCCCN,10.74
48,C#CCCCCCN,10.64
49,C#CCCCCN,10.5
50,C#CCCCCN(C)C,9.24
51,C#CCCCN,10.21
52,C#CCCCN(C)C,8.88
53,C#CCCN,9.23
54,C#CCCN(C)C,8.33
55,C#CCN,8.19
56,C#CCN(C)C,7.05
57,C#CCN(C)[C@H](C)Cc1ccccc1,8.015
58,C#CCN(C1=NCCN1)c1c(Br)cccc1Br,10.1
59,C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.3
60,C#CCN(CC#C)CC#C,3.04
61,C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4
62,C#CCN1CCN(C(=O)OCC)CC1,5.44
63,C#CCN1CCOCC1,5.54
64,C#CCNCC#C,6.08
65,C#CCNc1ccccc1,3.06
66,C#CCO,13.28
67,C#CCOC[n+]1ccn(C)c1/C=N/O,8.01
